Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1783537237,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1783537238,50,,Aggregated,0.000000,0.000000,70,82,90,100,460,490,520,530,530,530,530,268,0,70,132.40936343339203,10.198300005868077,534.522800007835,1248.160447761194
1783537239,100,,Aggregated,0.000000,0.000000,130,200,260,300,410,480,510,530,630,630,630,614,0,130,179.4723428373228,10.198300005868077,628.5406998358667,1204.771986970684
1783537240,200,,Aggregated,3.000000,0.000000,190,260,300,340,420,500,690,720,830,830,830,992,0,190,222.2333138150486,10.198300005868077,825.8064000401646,1245.03125
1783537241,250,,Aggregated,177.500000,0.000000,230,300,340,370,450,570,700,740,860,920,920,1495,0,230,254.444031978188,10.198300005868077,920.2938000671566,1217.8909698996656
1783537242,300,,Aggregated,228.666667,0.000000,270,320,360,390,470,620,730,830,930,1100,1100,2058,0,270,282.1704004888954,10.198300005868077,1084.7978999372572,1221.2939747327503
1783537244,350,,Aggregated,312.800000,0.000000,300,350,390,410,500,620,750,850,1100,1100,1100,2561,0,300,306.9249307704025,10.198300005868077,1105.5532000027597,1261.714564623194
1783537245,400,,Aggregated,343.000000,0.000000,330,410,450,480,580,700,920,1200,1700,1900,1900,3124,0,330,356.1806057297497,10.198300005868077,1919.9644001200795,1269.5739436619717
1783537246,450,,Aggregated,359.142857,0.000000,360,440,510,550,650,720,1000,1400,2100,2200,2200,3604,0,360,393.2280446722903,10.198300005868077,2219.7464001365006,1290.4187014428412
1783537247,500,,Aggregated,366.125000,0.000000,400,500,570,610,700,820,1100,1700,2600,2700,2700,4064,0,400,432.32713631927413,10.198300005868077,2707.739199977368,1274.8051181102362
1783537248,500,,Aggregated,376.111111,0.000000,420,540,620,680,780,880,1600,2300,3000,3400,3400,4618,0,420,478.9840353611694,10.198300005868077,3428.4070001449436,1277.4376353399741
1783537250,500,,Aggregated,377.600000,0.000000,450,580,660,700,810,960,1800,2600,3300,3500,3500,5137,0,450,515.5992758812422,10.198300005868077,3497.77470016852,1271.3864123029005
1783537251,500,,Aggregated,431.200000,0.000000,470,610,690,720,850,1100,2400,2900,3700,4200,4200,5668,0,470,551.5662770470307,10.198300005868077,4192.175699863583,1291.5873323923784
1783537252,500,,Aggregated,445.100000,0.000000,500,650,720,770,910,1300,2400,3000,4100,4800,4800,6212,0,500,575.9904486961445,10.198300005868077,4786.91289993003,1298.8583386992916
1783537253,500,,Aggregated,455.800000,0.000000,520,680,770,820,1000,1500,2500,3000,4100,5100,5100,6783,0,520,614.5812243101471,10.198300005868077,5096.972099971026,1308.8679050567596
1783537254,500,,Aggregated,461.900000,0.000000,550,710,800,840,1000,1600,2500,3000,4100,5100,5100,7361,0,550,635.2220770135643,10.198300005868077,5096.972099971026,1314.7767966308925
1783537255,500,,Aggregated,459.900000,0.000000,580,730,820,870,1000,1500,2400,2900,4100,5100,5100,8007,0,580,650.1625346945895,10.198300005868077,5096.972099971026,1321.94155114275
1783537256,500,,Aggregated,470.000000,0.000000,580,740,830,900,1100,1500,2300,2800,4100,5100,5100,8679,0,580,656.9010234587685,10.198300005868077,5096.972099971026,1323.6985827860353
1783537258,500,,Aggregated,481.300000,0.000000,610,720,820,890,1100,1400,2200,2800,4000,5100,5100,9306,0,610,659.5825745215296,10.198300005868077,5096.972099971026,1334.392112615517
1783537259,500,,Aggregated,490.300000,0.000000,630,720,810,870,1100,1400,2100,2700,4000,5100,5100,9936,0,630,662.4097462156101,10.198300005868077,5096.972099971026,1335.4837962962963
1783537261,500,,Aggregated,502.000000,0.000000,650,730,830,900,1000,1400,2100,2700,4000,4900,5100,10562,0,650,672.4761559265676,10.198300005868077,5096.972099971026,1336.8559931831091
1783537262,500,,Aggregated,486.700000,0.000000,650,720,810,890,1000,1400,2000,2700,3800,4900,5100,11153,0,650,672.8651109924165,10.198300005868077,5096.972099971026,1342.1635434412265
1783537263,500,,Aggregated,477.700000,0.000000,650,710,800,870,1000,1400,2000,2600,3800,4900,5100,11773,0,650,674.4240742628431,10.198300005868077,5096.972099971026,1334.482205045443
1783537264,500,,Aggregated,474.000000,0.000000,640,700,790,860,1000,1400,1900,2600,3800,4900,5100,12408,0,640,672.125578102666,10.198300005868077,5096.972099971026,1337.3657317859445
1783537266,500,,Aggregated,468.600000,0.000000,650,710,800,840,1000,1400,1900,2600,3700,4900,5100,13033,0,650,675.9031905240385,10.198300005868077,5096.972099971026,1339.4197805570475
1783537267,500,,Aggregated,474.900000,0.000000,650,710,790,830,1000,1300,1900,2500,3700,4900,5100,13648,0,650,677.3560112545078,10.198300005868077,5096.972099971026,1337.0613276670574
1783537269,500,,Aggregated,462.600000,0.000000,650,720,790,830,990,1300,1900,2500,3700,4900,5100,14156,0,650,681.3810555314584,10.198300005868077,5096.972099971026,1336.9374116982199
1783537270,500,,Aggregated,459.400000,0.000000,660,720,780,830,980,1300,1800,2500,3700,4900,5100,14773,0,660,681.9785216343532,10.198300005868077,5096.972099971026,1334.8896635754418
1783537271,500,,Aggregated,446.900000,0.000000,660,720,780,820,980,1300,1800,2400,3700,4900,5100,15404,0,660,682.7857139641055,10.198300005868077,5096.972099971026,1336.6753440664763
1783537273,500,,Aggregated,464.300000,0.000000,660,710,770,820,970,1300,1800,2400,3600,4900,5100,16008,0,660,682.783203717266,10.198300005868077,5096.972099971026,1327.0245502248877
1783537274,500,,Aggregated,460.500000,0.000000,660,720,770,810,960,1300,1800,2400,3600,4900,5100,16628,0,660,685.3841722160635,10.198300005868077,5096.972099971026,1326.709405821506
1783537275,500,,Aggregated,461.200000,0.000000,660,720,770,810,960,1300,1800,2300,3600,4900,5100,17233,0,660,687.3738382410813,10.198300005868077,5096.972099971026,1323.9949515464516
1783537277,500,,Aggregated,451.800000,0.000000,660,720,770,810,960,1300,1800,2300,3600,4900,5100,17727,0,660,689.5119056022002,10.198300005868077,5096.972099971026,1324.0476674000113
1783537278,500,,Aggregated,453.000000,0.000000,670,720,770,810,950,1300,1800,2200,3600,4900,5100,18346,0,670,693.0350063561557,10.198300005868077,5096.972099971026,1325.1584541589448
1783537279,500,,Aggregated,444.400000,0.000000,670,730,780,820,950,1300,1800,2200,3600,4900,5100,18826,0,670,696.8381676834922,10.198300005868077,5096.972099971026,1325.46674811431
1783537281,500,,Aggregated,436.900000,0.000000,670,730,780,830,950,1300,1800,2300,3600,4900,5100,19325,0,670,701.9933842697131,10.198300005868077,5096.972099971026,1327.3452005174645
1783537282,500,,Aggregated,430.400000,0.000000,670,740,800,830,950,1300,1900,2200,3600,4900,5100,19939,0,670,705.9595836406935,10.198300005868077,5096.972099971026,1324.7446712473043
